Date,Holiday,id,element,value
1998-05-25,Memorial Day,USW00094846,TMAX,222.0
1998-10-12,Columbus Day,USW00094846,TMAX,217.0
1998-09-07,Labor Day,USW00094846,TMAX,233.0
1998-11-11,Veterans Day,USW00094846,TMAX,78.0
2007-11-22,Thanksgiving Day,USW00094846,TMAX,6.0
2007-01-15,"Birthday of Martin Luther King, Jr.",USW00094846,TMAX,6.0
2007-12-25,Christmas Day,USW00094846,TMAX,56.0
2007-02-19,Washington’s Birthday,USW00094846,TMAX,56.0
2007-10-08,Columbus Day,USW00094846,TMAX,306.0
2007-05-28,Memorial Day,USW00094846,TMAX,261.0
2007-09-03,Labor Day,USW00094846,TMAX,311.0
2007-01-01,New Year’s Day,USW00094846,TMAX,61.0
2007-11-12,Veterans Day,USW00094846,TMAX,189.0
2007-07-04,Independence Day,USW00094846,TMAX,300.0
2012-12-25,Christmas Day,USW00094846,TMAX,6.0
2012-01-02,New Year's Day,USW00094846,TMAX,-17.0
2012-11-12,Veterans Day,USW00094846,TMAX,44.0
2012-02-20,Washington's Birthday,USW00094846,TMAX,72.0
2012-01-16,"Birthday of Martin Luther King, Jr.",USW00094846,TMAX,72.0
2012-07-04,Independence Day,USW00094846,TMAX,389.0
2012-09-03,Labor Day,USW00094846,TMAX,311.0
2012-10-08,Columbus Day,USW00094846,TMAX,156.0
2012-11-22,Thanksgiving Day,USW00094846,TMAX,172.0
2012-05-28,Memorial Day,USW00094846,TMAX,350.0
2010-09-06,Labor Day,USW00094846,TMAX,278.0
2010-10-11,Columbus Day,USW00094846,TMAX,278.0
2010-05-31,Memorial Day,USW00094846,TMAX,272.0
2010-11-11,Veterans Day,USW00094846,TMAX,194.0
2010-12-24,Christmas Day,USW00094846,TMAX,0.0
2010-07-05,Independence Day,USW00094846,TMAX,328.0
2010-01-01,New Year’s Day,USW00094846,TMAX,-89.0
2010-12-31,New Year’s Day,USW00094846,TMAX,117.0
2010-11-25,Thanksgiving Day,USW00094846,TMAX,39.0
2010-02-15,Washington’s Birthday,USW00094846,TMAX,-22.0
2010-01-18,"Birthday of Martin Luther King, Jr.",USW00094846,TMAX,-6.0
2002-05-27,Memorial Day,USW00094846,TMAX,256.0
2002-07-04,Independence Day,USW00094846,TMAX,322.0
2002-09-02,Labor Day,USW00094846,TMAX,278.0
2002-11-28,Thanksgiving Day,USW00094846,TMAX,6.0
2002-10-14,Columbus Day,USW00094846,TMAX,139.0
2002-12-25,Christmas Day,USW00094846,TMAX,-17.0
2002-11-11,Veterans Day,USW00094846,TMAX,50.0
2002-02-18,Washington’s Birthday,USW00094846,TMAX,100.0
2002-01-01,New Year’s Day,USW00094846,TMAX,-39.0
2002-01-21,"Birthday of Martin Luther King, Jr.",USW00094846,TMAX,22.0
2013-11-28,Thanksgiving Day,USW00094846,TMAX,11.0
2013-01-20,Inauguration Day,USW00094846,TMAX,-22.0
2013-12-25,Christmas Day,USW00094846,TMAX,-27.0
2013-09-02,Labor Day,USW00094846,TMAX,261.0
2013-01-01,New Year’s Day,USW00094846,TMAX,-39.0
2013-01-21,"Birthday of Martin Luther King, Jr.",USW00094846,TMAX,-94.0
2013-07-04,Independence Day,USW00094846,TMAX,283.0
2013-11-11,Veterans Day,USW00094846,TMAX,83.0
2013-02-18,Washington’s Birthday,USW00094846,TMAX,111.0
2013-05-27,Memorial Day,USW00094846,TMAX,167.0
2013-10-14,Columbus Day,USW00094846,TMAX,167.0
2002-02-18,Washington’s Birthday,USW00094846,TMAX,100.0
2002-05-27,Memorial Day,USW00094846,TMAX,256.0
2002-10-14,Columbus Day,USW00094846,TMAX,139.0
2002-11-11,Veterans Day,USW00094846,TMAX,50.0
2002-11-28,Thanksgiving Day,USW00094846,TMAX,6.0
2002-01-01,New Year’s Day,USW00094846,TMAX,-39.0
2002-01-21,"Birthday of Martin Luther King, Jr.",USW00094846,TMAX,22.0
2002-07-04,Independence Day,USW00094846,TMAX,322.0
2002-12-25,Christmas Day,USW00094846,TMAX,-17.0
2002-09-02,Labor Day,USW00094846,TMAX,278.0
2015-12-25,Christmas Day,USW00094846,TMAX,67.0
2015-01-01,New Year’s Day,USW00094846,TMAX,0.0
2015-02-16,Washington’s Birthday,USW00094846,TMAX,-77.0
2015-05-25,Memorial Day,USW00094846,TMAX,256.0
2015-11-26,Thanksgiving Day,USW00094846,TMAX,156.0
2015-07-03,Independence Day,USW00094846,TMAX,250.0
2015-11-11,Veterans Day,USW00094846,TMAX,172.0
2015-01-19,"Birthday of Martin Luther King, Jr.",USW00094846,TMAX,50.0
2015-09-07,Labor Day,USW00094846,TMAX,311.0
2015-10-12,Columbus Day,USW00094846,TMAX,239.0
2021-01-01,New Year’s Day,USW00094846,TMAX,17.0
2021-01-18,"Birthday of Martin Luther King, Jr.",USW00094846,TMAX,-10.0
2021-02-15,Washington’s Birthday,USW00094846,TMAX,-110.0
2021-01-20,Inauguation Day,USW00094846,TMAX,11.0
2021-05-31,Memorial Day,USW00094846,TMAX,211.0
2021-11-25,Thanksgiving Day,USW00094846,TMAX,89.0
2021-12-25,Christmas Day,USW00094846,TMAX,128.0
2021-07-05,Independence Day,USW00094846,TMAX,328.0
2021-10-11,Columbus Day,USW00094846,TMAX,250.0
2021-09-06,Labor Day,USW00094846,TMAX,278.0
